episode,total_reward,normalised_reward,steps,mean_loss,completed_requests,picked_up_requests,avg_wait_until_pickup,avg_excess_ride_time,epsilon,lr,eval_completed_requests,eval_picked_up_requests,eval_avg_wait_until_pickup,eval_avg_excess_ride_time,eval_eval_total_reward,eval_eval_steps
30,67.51113602650678,0.3375556801325339,200,0.6555002021789551,200,200,195.85,124.24600712974798,0.04431472081218274,4.7621700188022204e-05,200.0,200.0,173.7,115.72558394697518,103.91106163389946,200.0
31,91.56413813248474,0.4578206906624237,200,0.5991184151172638,200,200,178.7,125.24454556073832,0.04411167512690355,4.74518474701377e-05,,,,,,
32,94.43662812081071,0.47218314060405353,200,0.6206046509742736,200,200,175.3,120.66255827474916,0.04390862944162437,4.7276468492045606e-05,,,,,,
33,78.51266749560611,0.39256333747803057,200,0.6010000228881835,200,200,193.35,127.94870089032355,0.04370558375634518,4.7095607404465716e-05,,,,,,
34,96.63958284934097,0.48319791424670483,200,0.5393511998653412,200,200,186.75,112.04975962316945,0.043502538071065994,4.6909309738209684e-05,,,,,,
35,77.24373878200315,0.38621869391001573,200,0.5549393594264984,200,200,203.15,131.47017666092322,0.04329949238578681,4.671762239271872e-05,200.0,200.0,195.05,117.08145959604228,86.75271980553657,200.0
36,99.95885270729384,0.4997942635364692,200,0.6004151260852814,200,200,173.9,123.55987317662162,0.04309644670050762,4.65205936242569e-05,,,,,,
37,96.87036232723229,0.4843518116361614,200,0.5504641652107238,200,200,175.45,115.5905320357935,0.04289340101522843,4.6318273033763085e-05,,,,,,
38,101.75898434171192,0.5087949217085597,200,0.5497504019737244,200,200,171.6,116.972989053456,0.04269035532994924,4.611071155436392e-05,,,,,,
39,84.04786206166149,0.42023931030830747,200,0.5343359923362732,200,200,167.4,122.11098887085062,0.042487309644670054,4.589796143855187e-05,,,,,,
40,87.22268161634082,0.4361134080817041,200,0.4858320498466492,200,200,189.0,127.5463224007927,0.04228426395939087,4.568007624503086e-05,200.0,200.0,173.45,122.90164636407944,94.80391084309144,200.0
